"","dhs_id","site_id","site_name","latitude","longitude","rural_urban","country","country_id","continent_id","month_start","year_start","month_end","year_end","lower_age","upper_age","examined","positive","pr","species","method","rdt_type","pcr_type","malaria_metrics_available","location_available","permissions_info","citation1","citation2","citation3"
"702","UG201400000124",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.7,4,22,3,0.1364,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"703","UG201400000125",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.2,4,29,22,0.7586,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"704","UG201400000126",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.1,4,23,16,0.6957,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"705","UG201400000127",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,27,4,0.1481,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"706","UG201400000128",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0,4,36,11,0.3056,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"707","UG201400000129",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.3,4,22,9,0.4091,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"708","UG201400000130",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0,4,25,12,0.48,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"709","UG201400000131",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.5,4,32,14,0.4375,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"710","UG201400000132",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.1,4,25,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"711","UG201400000133",NA,"",NA,NA,"","Uganda","UGA","Africa",2,2014,12,2015,0.4,4,24,5,0.2083,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"712","UG201400000134",NA,"",NA,NA,"","Uganda","UGA","Africa",2,2014,12,2015,0.3,4,26,9,0.3462,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"713","UG201400000135",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.1,4,22,11,0.5,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"714","UG201400000136",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.2,4,36,13,0.3611,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"715","UG201400000137",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0,4,44,1,0.0227,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"716","UG201400000138",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.8,4,25,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"717","UG201400000139",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,37,20,0.5405,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"718","UG201400000140",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0,4,11,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"719","UG201400000141",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,22,7,0.3182,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"720","UG201400000142",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.2,4,33,9,0.2727,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"721","UG201400000143",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.3,4,22,10,0.4545,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"722","UG201400000144",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.3,4,29,12,0.4138,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"723","UG201400000145",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.5,4,26,12,0.4615,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"724","UG201400000146",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.3,4,17,13,0.7647,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"725","UG201400000147",NA,"",NA,NA,"","Uganda","UGA","Africa",2,2014,12,2015,0.8,4,27,9,0.3333,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"726","UG201400000148",NA,"",NA,NA,"","Uganda","UGA","Africa",2,2014,12,2015,0.3,4,29,5,0.1724,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"727","UG201400000149",NA,"",NA,NA,"","Uganda","UGA","Africa",2,2014,12,2015,0.2,4,31,16,0.5161,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"728","UG201400000150",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0,4,24,1,0.0417,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"729","UG201400000151",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,23,1,0.0435,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"730","UG201400000152",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.1,4,11,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"731","UG201400000153",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,35,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"732","UG201400000154",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.2,4,28,2,0.0714,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"733","UG201400000155",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.2,4,33,12,0.3636,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"734","UG201400000156",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.2,4,31,17,0.5484,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"735","UG201400000157",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,17,2,0.1176,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"736","UG201400000158",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,24,3,0.125,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"737","UG201400000159",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.3,4,25,6,0.24,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"738","UG201400000160",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.1,4,13,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"739","UG201400000161",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.5,4,15,4,0.2667,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"740","UG201400000162",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.2,4,27,16,0.5926,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"741","UG201400000163",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.4,4,21,7,0.3333,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"742","UG201400000164",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.2,4,17,1,0.0588,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"743","UG201400000166",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.6,4,28,16,0.5714,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"744","UG201400000167",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.4,4,25,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"745","UG201400000168",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0,4,24,4,0.1667,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"746","UG201400000169",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,49,2,0.0408,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"747","UG201400000170",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.1,4,14,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"748","UG201400000171",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.2,4,26,3,0.1154,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"749","UG201400000172",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.3,4,24,4,0.1667,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"750","UG201400000173",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,12,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"751","UG201400000174",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.3,4,29,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"752","UG201400000175",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,1.1,4,12,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"753","UG201400000176",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.3,4,10,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"754","UG201400000177",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.1,4,43,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"755","UG201400000178",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.6,4,16,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"756","UG201400000179",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0,4,27,1,0.037,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"757","UG201400000180",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,30,0,0,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"758","UG201400000181",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.3,4,26,6,0.2308,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"759","UG201400000182",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0,4,48,22,0.4583,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"760","UG201400000183",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,28,5,0.1786,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"761","UG201400000184",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,21,3,0.1429,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"762","UG201400000185",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0.1,4,17,3,0.1765,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"763","UG201400000186",NA,"",NA,NA,"","Uganda","UGA","Africa",1,2015,1,2015,0.1,4,34,1,0.0294,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"764","UG201400000187",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2014,12,2014,0,4,26,1,0.0385,"P. falciparum","Microscopy","",NA,"true","false","Site data available from www.measuredhs.com"," (2015). <i>Uganda Malaria Indicator Survey 2014-15 .</i> DHS Survey ID 484. Kampala, Uganda. The Uganda Bureau of Statistics (UBOS). 1-N/A"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
